119	135	185	103	42	111	79	105	137	152	167	157	158	43	48
63	159	134	86	152	92	111	106	142	15	89	80	111	168	92
120	24	45	89	82	80	131	82	128	115	109	10	118	150	158
89	63	153	109	125	117	120	118	79	75	116	187	79	82	135
86	108	76	172	47	73	83	93	70	185	93	83	121	148	124
95	144	148	47	170	65	67	71	183	56	58	121	135	97	69
160	43	116	68	82	153	138	90	55	71	31	88	117	42	60
140	105	161	76	124	44	90	119	124	83	111	74	89	125	85
111	114	109	102	112	116	94	90	116	71	131	69	137	134	146
102	136	103	197	106	117	41	62	183	102	26	110	37	99	34
161	121	116	136	79	107	95	109	80	107	124	61	128	91	123
79	40	93	94	97	164	132	7	46	156	94	166	172	102	70
52	53	104	92	112	76	45	71	106	70	143	124	134	79	61
79	29	24	121	96	31	187	104	155	160	73	137	171	157	134
75	166	130	46	63	90	155	137	104	64	96	118	175	84	62
